From which <b style="color:red">major scale</b> comes C ionian ?	<h1>C (#1 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to C ionian ?	<h1>Cmaj7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes D dorian ?	<h1>C (#2 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to D dorian ?	<h1>D-7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes E phrygian ?	<h1>C (#3 degree)</h1>	mode-scale
From which <b style="color:red">major scale</b> comes F lydian ?	<h1>C (#4 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to F lydian ?	<h1>Fmaj7#11</h1>	mode-chord
From which <b style="color:red">major scale</b> comes G mixolydian ?	<h1>C (#5 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to G mixolydian ?	<h1>G7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes A aeolian ?	<h1>C (#6 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to A aeolian ?	<h1>A-6</h1>	mode-chord
From which <b style="color:red">major scale</b> comes B locrian ?	<h1>C (#7 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to B locrian ?	<h1>B-7b5</h1>	mode-chord
From which <b style="color:red">major scale</b> comes C# ionian ?	<h1>C# (#1 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to C# ionian ?	<h1>C#maj7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes D# dorian ?	<h1>C# (#2 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to D# dorian ?	<h1>D#-7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes E# phrygian ?	<h1>C# (#3 degree)</h1>	mode-scale
From which <b style="color:red">major scale</b> comes F# lydian ?	<h1>C# (#4 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to F# lydian ?	<h1>F#maj7#11</h1>	mode-chord
From which <b style="color:red">major scale</b> comes G# mixolydian ?	<h1>C# (#5 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to G# mixolydian ?	<h1>G#7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes A# aeolian ?	<h1>C# (#6 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to A# aeolian ?	<h1>A#-6</h1>	mode-chord
From which <b style="color:red">major scale</b> comes B# locrian ?	<h1>C# (#7 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to B# locrian ?	<h1>B#-7b5</h1>	mode-chord
From which <b style="color:red">major scale</b> comes D ionian ?	<h1>D (#1 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to D ionian ?	<h1>Dmaj7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes E dorian ?	<h1>D (#2 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to E dorian ?	<h1>E-7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes F# phrygian ?	<h1>D (#3 degree)</h1>	mode-scale
From which <b style="color:red">major scale</b> comes G lydian ?	<h1>D (#4 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to G lydian ?	<h1>Gmaj7#11</h1>	mode-chord
From which <b style="color:red">major scale</b> comes A mixolydian ?	<h1>D (#5 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to A mixolydian ?	<h1>A7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes B aeolian ?	<h1>D (#6 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to B aeolian ?	<h1>B-6</h1>	mode-chord
From which <b style="color:red">major scale</b> comes C# locrian ?	<h1>D (#7 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to C# locrian ?	<h1>C#-7b5</h1>	mode-chord
From which <b style="color:red">major scale</b> comes Db ionian ?	<h1>Db (#1 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to Db ionian ?	<h1>Dbmaj7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes Eb dorian ?	<h1>Db (#2 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to Eb dorian ?	<h1>Eb-7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes F phrygian ?	<h1>Db (#3 degree)</h1>	mode-scale
From which <b style="color:red">major scale</b> comes Gb lydian ?	<h1>Db (#4 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to Gb lydian ?	<h1>Gbmaj7#11</h1>	mode-chord
From which <b style="color:red">major scale</b> comes Ab mixolydian ?	<h1>Db (#5 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to Ab mixolydian ?	<h1>Ab7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes Bb aeolian ?	<h1>Db (#6 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to Bb aeolian ?	<h1>Bb-6</h1>	mode-chord
From which <b style="color:red">major scale</b> comes C locrian ?	<h1>Db (#7 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to C locrian ?	<h1>C-7b5</h1>	mode-chord
From which <b style="color:red">major scale</b> comes D# ionian ?	<h1>D# (#1 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to D# ionian ?	<h1>D#maj7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes E# dorian ?	<h1>D# (#2 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to E# dorian ?	<h1>E#-7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes F## phrygian ?	<h1>D# (#3 degree)</h1>	mode-scale
From which <b style="color:red">major scale</b> comes G# lydian ?	<h1>D# (#4 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to G# lydian ?	<h1>G#maj7#11</h1>	mode-chord
From which <b style="color:red">major scale</b> comes A# mixolydian ?	<h1>D# (#5 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to A# mixolydian ?	<h1>A#7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes B# aeolian ?	<h1>D# (#6 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to B# aeolian ?	<h1>B#-6</h1>	mode-chord
From which <b style="color:red">major scale</b> comes C## locrian ?	<h1>D# (#7 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to C## locrian ?	<h1>C##-7b5</h1>	mode-chord
From which <b style="color:red">major scale</b> comes E ionian ?	<h1>E (#1 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to E ionian ?	<h1>Emaj7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes F# dorian ?	<h1>E (#2 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to F# dorian ?	<h1>F#-7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes G# phrygian ?	<h1>E (#3 degree)</h1>	mode-scale
From which <b style="color:red">major scale</b> comes A lydian ?	<h1>E (#4 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to A lydian ?	<h1>Amaj7#11</h1>	mode-chord
From which <b style="color:red">major scale</b> comes B mixolydian ?	<h1>E (#5 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to B mixolydian ?	<h1>B7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes C# aeolian ?	<h1>E (#6 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to C# aeolian ?	<h1>C#-6</h1>	mode-chord
From which <b style="color:red">major scale</b> comes D# locrian ?	<h1>E (#7 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to D# locrian ?	<h1>D#-7b5</h1>	mode-chord
From which <b style="color:red">major scale</b> comes Eb ionian ?	<h1>Eb (#1 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to Eb ionian ?	<h1>Ebmaj7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes F dorian ?	<h1>Eb (#2 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to F dorian ?	<h1>F-7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes G phrygian ?	<h1>Eb (#3 degree)</h1>	mode-scale
From which <b style="color:red">major scale</b> comes Ab lydian ?	<h1>Eb (#4 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to Ab lydian ?	<h1>Abmaj7#11</h1>	mode-chord
From which <b style="color:red">major scale</b> comes Bb mixolydian ?	<h1>Eb (#5 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to Bb mixolydian ?	<h1>Bb7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes C aeolian ?	<h1>Eb (#6 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to C aeolian ?	<h1>C-6</h1>	mode-chord
From which <b style="color:red">major scale</b> comes D locrian ?	<h1>Eb (#7 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to D locrian ?	<h1>D-7b5</h1>	mode-chord
From which <b style="color:red">major scale</b> comes F ionian ?	<h1>F (#1 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to F ionian ?	<h1>Fmaj7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes G dorian ?	<h1>F (#2 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to G dorian ?	<h1>G-7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes A phrygian ?	<h1>F (#3 degree)</h1>	mode-scale
From which <b style="color:red">major scale</b> comes Bb lydian ?	<h1>F (#4 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to Bb lydian ?	<h1>Bbmaj7#11</h1>	mode-chord
From which <b style="color:red">major scale</b> comes C mixolydian ?	<h1>F (#5 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to C mixolydian ?	<h1>C7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes D aeolian ?	<h1>F (#6 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to D aeolian ?	<h1>D-6</h1>	mode-chord
From which <b style="color:red">major scale</b> comes E locrian ?	<h1>F (#7 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to E locrian ?	<h1>E-7b5</h1>	mode-chord
From which <b style="color:red">major scale</b> comes F# ionian ?	<h1>F# (#1 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to F# ionian ?	<h1>F#maj7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes G# dorian ?	<h1>F# (#2 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to G# dorian ?	<h1>G#-7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes A# phrygian ?	<h1>F# (#3 degree)</h1>	mode-scale
From which <b style="color:red">major scale</b> comes B lydian ?	<h1>F# (#4 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to B lydian ?	<h1>Bmaj7#11</h1>	mode-chord
From which <b style="color:red">major scale</b> comes C# mixolydian ?	<h1>F# (#5 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to C# mixolydian ?	<h1>C#7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes D# aeolian ?	<h1>F# (#6 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to D# aeolian ?	<h1>D#-6</h1>	mode-chord
From which <b style="color:red">major scale</b> comes E# locrian ?	<h1>F# (#7 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to E# locrian ?	<h1>E#-7b5</h1>	mode-chord
From which <b style="color:red">major scale</b> comes G ionian ?	<h1>G (#1 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to G ionian ?	<h1>Gmaj7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes A dorian ?	<h1>G (#2 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to A dorian ?	<h1>A-7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes B phrygian ?	<h1>G (#3 degree)</h1>	mode-scale
From which <b style="color:red">major scale</b> comes C lydian ?	<h1>G (#4 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to C lydian ?	<h1>Cmaj7#11</h1>	mode-chord
From which <b style="color:red">major scale</b> comes D mixolydian ?	<h1>G (#5 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to D mixolydian ?	<h1>D7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes E aeolian ?	<h1>G (#6 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to E aeolian ?	<h1>E-6</h1>	mode-chord
From which <b style="color:red">major scale</b> comes F# locrian ?	<h1>G (#7 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to F# locrian ?	<h1>F#-7b5</h1>	mode-chord
From which <b style="color:red">major scale</b> comes Gb ionian ?	<h1>Gb (#1 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to Gb ionian ?	<h1>Gbmaj7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes Ab dorian ?	<h1>Gb (#2 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to Ab dorian ?	<h1>Ab-7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes Bb phrygian ?	<h1>Gb (#3 degree)</h1>	mode-scale
From which <b style="color:red">major scale</b> comes Cb lydian ?	<h1>Gb (#4 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to Cb lydian ?	<h1>Cbmaj7#11</h1>	mode-chord
From which <b style="color:red">major scale</b> comes Db mixolydian ?	<h1>Gb (#5 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to Db mixolydian ?	<h1>Db7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes Eb aeolian ?	<h1>Gb (#6 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to Eb aeolian ?	<h1>Eb-6</h1>	mode-chord
From which <b style="color:red">major scale</b> comes F locrian ?	<h1>Gb (#7 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to F locrian ?	<h1>F-7b5</h1>	mode-chord
From which <b style="color:red">major scale</b> comes G# ionian ?	<h1>G# (#1 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to G# ionian ?	<h1>G#maj7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes A# dorian ?	<h1>G# (#2 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to A# dorian ?	<h1>A#-7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes B# phrygian ?	<h1>G# (#3 degree)</h1>	mode-scale
From which <b style="color:red">major scale</b> comes C# lydian ?	<h1>G# (#4 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to C# lydian ?	<h1>C#maj7#11</h1>	mode-chord
From which <b style="color:red">major scale</b> comes D# mixolydian ?	<h1>G# (#5 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to D# mixolydian ?	<h1>D#7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes E# aeolian ?	<h1>G# (#6 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to E# aeolian ?	<h1>E#-6</h1>	mode-chord
From which <b style="color:red">major scale</b> comes F## locrian ?	<h1>G# (#7 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to F## locrian ?	<h1>F##-7b5</h1>	mode-chord
From which <b style="color:red">major scale</b> comes A ionian ?	<h1>A (#1 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to A ionian ?	<h1>Amaj7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes B dorian ?	<h1>A (#2 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to B dorian ?	<h1>B-7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes C# phrygian ?	<h1>A (#3 degree)</h1>	mode-scale
From which <b style="color:red">major scale</b> comes D lydian ?	<h1>A (#4 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to D lydian ?	<h1>Dmaj7#11</h1>	mode-chord
From which <b style="color:red">major scale</b> comes E mixolydian ?	<h1>A (#5 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to E mixolydian ?	<h1>E7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes F# aeolian ?	<h1>A (#6 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to F# aeolian ?	<h1>F#-6</h1>	mode-chord
From which <b style="color:red">major scale</b> comes G# locrian ?	<h1>A (#7 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to G# locrian ?	<h1>G#-7b5</h1>	mode-chord
From which <b style="color:red">major scale</b> comes Ab ionian ?	<h1>Ab (#1 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to Ab ionian ?	<h1>Abmaj7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes Bb dorian ?	<h1>Ab (#2 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to Bb dorian ?	<h1>Bb-7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes C phrygian ?	<h1>Ab (#3 degree)</h1>	mode-scale
From which <b style="color:red">major scale</b> comes Db lydian ?	<h1>Ab (#4 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to Db lydian ?	<h1>Dbmaj7#11</h1>	mode-chord
From which <b style="color:red">major scale</b> comes Eb mixolydian ?	<h1>Ab (#5 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to Eb mixolydian ?	<h1>Eb7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes F aeolian ?	<h1>Ab (#6 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to F aeolian ?	<h1>F-6</h1>	mode-chord
From which <b style="color:red">major scale</b> comes G locrian ?	<h1>Ab (#7 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to G locrian ?	<h1>G-7b5</h1>	mode-chord
From which <b style="color:red">major scale</b> comes A# ionian ?	<h1>A# (#1 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to A# ionian ?	<h1>A#maj7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes B# dorian ?	<h1>A# (#2 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to B# dorian ?	<h1>B#-7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes C## phrygian ?	<h1>A# (#3 degree)</h1>	mode-scale
From which <b style="color:red">major scale</b> comes D# lydian ?	<h1>A# (#4 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to D# lydian ?	<h1>D#maj7#11</h1>	mode-chord
From which <b style="color:red">major scale</b> comes E# mixolydian ?	<h1>A# (#5 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to E# mixolydian ?	<h1>E#7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes F## aeolian ?	<h1>A# (#6 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to F## aeolian ?	<h1>F##-6</h1>	mode-chord
From which <b style="color:red">major scale</b> comes G## locrian ?	<h1>A# (#7 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to G## locrian ?	<h1>G##-7b5</h1>	mode-chord
From which <b style="color:red">major scale</b> comes B ionian ?	<h1>B (#1 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to B ionian ?	<h1>Bmaj7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes C# dorian ?	<h1>B (#2 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to C# dorian ?	<h1>C#-7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes D# phrygian ?	<h1>B (#3 degree)</h1>	mode-scale
From which <b style="color:red">major scale</b> comes E lydian ?	<h1>B (#4 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to E lydian ?	<h1>Emaj7#11</h1>	mode-chord
From which <b style="color:red">major scale</b> comes F# mixolydian ?	<h1>B (#5 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to F# mixolydian ?	<h1>F#7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes G# aeolian ?	<h1>B (#6 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to G# aeolian ?	<h1>G#-6</h1>	mode-chord
From which <b style="color:red">major scale</b> comes A# locrian ?	<h1>B (#7 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to A# locrian ?	<h1>A#-7b5</h1>	mode-chord
From which <b style="color:red">major scale</b> comes Bb ionian ?	<h1>Bb (#1 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to Bb ionian ?	<h1>Bbmaj7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes C dorian ?	<h1>Bb (#2 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to C dorian ?	<h1>C-7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes D phrygian ?	<h1>Bb (#3 degree)</h1>	mode-scale
From which <b style="color:red">major scale</b> comes Eb lydian ?	<h1>Bb (#4 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to Eb lydian ?	<h1>Ebmaj7#11</h1>	mode-chord
From which <b style="color:red">major scale</b> comes F mixolydian ?	<h1>Bb (#5 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to F mixolydian ?	<h1>F7</h1>	mode-chord
From which <b style="color:red">major scale</b> comes G aeolian ?	<h1>Bb (#6 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to G aeolian ?	<h1>G-6</h1>	mode-chord
From which <b style="color:red">major scale</b> comes A locrian ?	<h1>Bb (#7 degree)</h1>	mode-scale
Which <b style="color:blue">chord</b> is associated to A locrian ?	<h1>A-7b5</h1>	mode-chord
